"Intraday stock prices provided by Standard & Poor's Comstock, Inc."

"Advanced Micro Devices, Inc. (AMD)"
Multiday Intraday prices (8/5/02 9:30 AM to 8/16/02 4:00 PM)
DATE/TIME,CLOSE,VOLUME
8/16/02 4:00 PM
8/16/02 3:55 PM
8/16/02 3:50 PM
8/16/02 3:45 PM
8/16/02 3:40 PM
8/16/02 3:35 PM
8/16/02 3:30 PM
8/16/02 3:25 PM
8/16/02 3:20 PM
8/16/02 3:15 PM
8/16/02 3:10 PM
8/16/02 3:05 PM
8/16/02 3:00 PM
8/16/02 2:55 PM
8/16/02 2:50 PM
8/16/02 2:45 PM
8/16/02 2:40 PM
8/16/02 2:35 PM
8/16/02 2:30 PM
8/16/02 2:25 PM
8/16/02 2:20 PM
8/16/02 2:15 PM
8/16/02 2:10 PM
8/16/02 2:05 PM
8/16/02 2:00 PM
8/16/02 1:55 PM
8/16/02 1:50 PM
8/16/02 1:45 PM
8/16/02 1:40 PM
8/16/02 1:35 PM
8/16/02 1:30 PM
8/16/02 1:25 PM
8/16/02 1:20 PM
8/16/02 1:15 PM
8/16/02 1:10 PM
8/16/02 1:05 PM
8/16/02 1:00 PM
8/16/02 12:55 PM
8/16/02 12:50 PM
8/16/02 12:45 PM
8/16/02 12:40 PM
8/16/02 12:35 PM
8/16/02 12:30 PM
8/16/02 12:25 PM
8/16/02 12:20 PM
8/16/02 12:15 PM
8/16/02 12:10 PM
8/16/02 12:05 PM
8/16/02 12:00 PM
8/16/02 11:55 AM
8/16/02 11:50 AM
8/16/02 11:45 AM
8/16/02 11:40 AM
8/16/02 11:35 AM
8/16/02 11:30 AM
8/16/02 11:25 AM
8/16/02 11:20 AM
8/16/02 11:15 AM
8/16/02 11:10 AM
8/16/02 11:05 AM
8/16/02 11:00 AM
8/16/02 10:55 AM
8/16/02 10:50 AM
8/16/02 10:45 AM
8/16/02 10:40 AM
8/16/02 10:35 AM
8/16/02 10:30 AM
8/16/02 10:25 AM
8/16/02 10:20 AM
8/16/02 10:15 AM
8/16/02 10:10 AM
8/16/02 10:05 AM
8/16/02 10:00 AM
8/16/02 9:55 AM
8/16/02 9:50 AM
8/16/02 9:45 AM
8/16/02 9:40 AM
8/16/02 9:35 AM
8/16/02 9:30 AM
8/15/02 4:00 PM,9.100,57700
8/15/02 3:55 PM,9.100,106500
8/15/02 3:50 PM,9.160,29300
8/15/02 3:45 PM,9.150,38300
8/15/02 3:40 PM,9.190,41300
8/15/02 3:35 PM,9.130,28000
8/15/02 3:30 PM,9.100,22000
8/15/02 3:25 PM,9.120,15700
8/15/02 3:20 PM,9.100,26800
8/15/02 3:15 PM,9.040,44000
8/15/02 3:10 PM,9.060,9200
8/15/02 3:05 PM,9.000,11900
8/15/02 3:00 PM,9.070,18000
8/15/02 2:55 PM,8.980,20500
8/15/02 2:50 PM,9.080,77500
8/15/02 2:45 PM,9.090,18900
8/15/02 2:40 PM,9.100,25000
8/15/02 2:35 PM,9.060,14100
8/15/02 2:30 PM,9.050,24000
8/15/02 2:25 PM,9.040,23200
8/15/02 2:20 PM,9.110,19600
8/15/02 2:15 PM,9.140,23400
8/15/02 2:10 PM,9.070,20200
8/15/02 2:05 PM,9.090,18400
8/15/02 2:00 PM,9.090,34100
8/15/02 1:55 PM,9.040,14400
8/15/02 1:50 PM,9.020,15800
8/15/02 1:45 PM,8.990,12900
8/15/02 1:40 PM,8.980,18000
8/15/02 1:35 PM,8.950,18400
8/15/02 1:30 PM,8.980,18400
8/15/02 1:25 PM,9.000,37300
8/15/02 1:20 PM,8.910,35900
8/15/02 1:15 PM,8.830,67000
8/15/02 1:10 PM,8.800,34700
8/15/02 1:05 PM,8.900,82000
8/15/02 1:00 PM,8.810,122000
8/15/02 12:55 PM,8.950,29500
8/15/02 12:50 PM,9.000,38800
8/15/02 12:45 PM,9.000,59100
8/15/02 12:40 PM,9.090,87900
8/15/02 12:35 PM,9.080,6400
8/15/02 12:30 PM,9.110,8700
8/15/02 12:25 PM,9.100,17400
8/15/02 12:20 PM,9.110,22000
8/15/02 12:15 PM,9.090,17300
8/15/02 12:10 PM,9.150,18600
8/15/02 12:05 PM,9.180,12900
8/15/02 12:00 PM,9.180,83700
8/15/02 11:55 AM,9.210,26600
8/15/02 11:50 AM,9.200,31800
8/15/02 11:45 AM,9.150,24400
8/15/02 11:40 AM,9.160,15600
8/15/02 11:35 AM,9.190,22000
8/15/02 11:30 AM,9.140,57200
8/15/02 11:25 AM,9.140,14700
8/15/02 11:20 AM,9.160,16400
8/15/02 11:15 AM,9.130,32700
8/15/02 11:10 AM,9.200,22300
8/15/02 11:05 AM,9.140,30900
8/15/02 11:00 AM,9.190,29600
8/15/02 10:55 AM,9.200,33200
8/15/02 10:50 AM,9.180,23000
8/15/02 10:45 AM,9.160,32500
8/15/02 10:40 AM,9.100,41600
8/15/02 10:35 AM,9.190,53600
8/15/02 10:30 AM,9.130,55800
8/15/02 10:25 AM,9.200,67700
8/15/02 10:20 AM,9.230,73800
8/15/02 10:15 AM,9.160,61400
8/15/02 10:10 AM,9.100,43500
8/15/02 10:05 AM,8.970,80200
8/15/02 10:00 AM,8.910,57300
8/15/02 9:55 AM,8.920,85600
8/15/02 9:50 AM,8.920,77300
8/15/02 9:45 AM,9.110,70000
8/15/02 9:40 AM,9.090,75600
8/15/02 9:35 AM,9.180,134900
8/15/02 9:30 AM,8.770,254300
8/14/02 4:00 PM,9.050,95600
8/14/02 3:55 PM,9.040,188200
8/14/02 3:50 PM,9.000,157200
8/14/02 3:45 PM,9.030,94500
8/14/02 3:40 PM,9.000,98800
8/14/02 3:35 PM,8.940,88000
8/14/02 3:30 PM,8.960,64600
8/14/02 3:25 PM,8.920,64400
8/14/02 3:20 PM,8.940,115200
8/14/02 3:15 PM,9.000,73500
8/14/02 3:10 PM,8.920,104800
8/14/02 3:05 PM,8.920,110600
8/14/02 3:00 PM,8.880,68300
8/14/02 2:55 PM,8.880,30200
